id,token_address,chain,provider,security_score,is_honeypot,cannot_sell,is_blacklisted,trading_disabled,is_mintable,is_proxy,owner_renounced,blacklist_function,dangerous_owner_permissions,buy_tax,sell_tax,top_holder_pct,top_10_holder_pct,lp_locked_pct,lp_burned_pct,risk_flags,raw_json,scan_time
68,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:58:43+00:00
75,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:58:43+00:00
78,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:58:43+00:00
79,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:58:43+00:00
83,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:59:07+00:00
86,0x519D57CD8D6436Ed38B3803F85b3681bE44BCC07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:59:07+00:00
89,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:59:07+00:00
96,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:59:07+00:00
99,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:59:07+00:00
100,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T06:59:07+00:00
104,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:04:20+00:00
107,0x519D57CD8D6436Ed38B3803F85b3681bE44BCC07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:04:20+00:00
110,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:04:20+00:00
117,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:04:20+00:00
120,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:04:20+00:00
121,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:04:20+00:00
125,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:35:47+00:00
128,0x519D57CD8D6436Ed38B3803F85b3681bE44BCC07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:35:47+00:00
131,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:35:47+00:00
138,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:35:47+00:00
141,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:35:47+00:00
142,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T07:35:47+00:00
146,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T09:49:09+00:00
149,0x519D57CD8D6436Ed38B3803F85b3681bE44BCC07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T09:49:09+00:00
152,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T09:49:09+00:00
153,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T09:49:09+00:00
160,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T09:49:09+00:00
163,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T09:49:09+00:00
164,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T09:49:09+00:00
165,0x8f9e7ce623e99C789dc01579a42522CF9077CC8a,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T11:15:30+00:00
169,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T11:15:30+00:00
172,0x519D57CD8D6436Ed38B3803F85b3681bE44BCC07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T11:15:30+00:00
175,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T11:15:30+00:00
176,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T11:15:30+00:00
183,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T11:15:30+00:00
186,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T11:15:30+00:00
187,0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T11:15:30+00:00
188,0xf41FaaCdD6b1D0Db127Ec16572B1CAC861F75544,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
189,0x8f9e7ce623e99C789dc01579a42522CF9077CC8a,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
193,0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
196,0x519D57CD8D6436Ed38B3803F85b3681bE44BCC07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
199,0xD98832e8a59156AcBEe4744B9A94A9989a728f36,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
200,0x8be807073C8b9831cB4afe98CDb407E8B7896Ba3,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
207,0x2D038DF0279816Ef12011F20FC06F46011aabe1b,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
210,0xECE5d962d17901ef200Da050C7c74AB45C96Db07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-10T12:06:48+00:00
