risk_score_bucket,opportunity_score_bucket,token_count,median_return,average_return,best_return,worst_return,rug_rate,illiquidity_rate,volume_disappearance_rate
0-25,26-50,68,0.0000,-7.0505,61.5954,-87.1321,10.2941,0.0000,14.7059
0-25,51-75,718,-0.6236,2.2878,170.0329,-57.7964,0.0000,0.0000,1.6713
0-25,76-100,34,-6.6506,-5.3609,23.2233,-27.4751,0.0000,0.0000,0.0000
26-50,0-25,1883,0.0000,-0.0769,22.4500,-23.8947,0.0000,25.8630,2.3898
26-50,26-50,1805,0.0000,-1.2675,600.3983,-95.4565,2.4931,5.2078,2.9363
26-50,51-75,553,-1.1936,1.1332,602.4879,-99.5754,4.3400,1.6275,3.9783
26-50,76-100,7,-41.9406,-55.0062,-37.6317,-92.4098,28.5714,0.0000,0.0000
51-75,0-25,205,0.0000,-0.1404,10.4435,-3.4212,0.0000,56.0976,3.4146
51-75,26-50,75,0.0000,-18.1991,149.1681,-96.3212,17.3333,38.6667,2.6667
51-75,51-75,46,61.5071,122.0283,537.9211,-96.1937,10.8696,4.3478,2.1739
