id,category,horizon,count,median_return,average_return,best_return,worst_return,positive_rate,verdict,updated_at
7117,High-Risk Momentum Watchlist,4h,6,-31.602203397061817,-19.76997698579995,88.0323054331865,-85.99932478055368,0.3333333333333333,Too Small Sample,2026-05-15T04:19:45+00:00
7116,High-Risk Momentum Watchlist,2h,6,-16.91329690427535,-6.960721940510211,88.0323054331865,-64.64271768840297,0.3333333333333333,Too Small Sample,2026-05-15T04:19:45+00:00
7115,High-Risk Momentum Watchlist,1h,6,-28.999389619507134,-10.989419512254141,88.0323054331865,-64.64271768840297,0.3333333333333333,Too Small Sample,2026-05-15T04:19:45+00:00
7114,High-Risk Momentum Watchlist,30m,6,-28.999389619507134,-23.09172005067803,15.651915651915637,-64.64271768840297,0.3333333333333333,Too Small Sample,2026-05-15T04:19:45+00:00
7113,High-Risk Momentum Watchlist,15m,6,-28.999389619507134,-23.09172005067803,15.651915651915637,-64.64271768840297,0.3333333333333333,Too Small Sample,2026-05-15T04:19:45+00:00
7112,Watchlist,24h,53,-5.271179982217699,-11.911112969619557,148.61516034985422,-95.36424731182795,0.3584905660377358,Mixed,2026-05-15T04:19:45+00:00
7111,Watchlist,8h,61,-0.6708707902857824,-6.022710439679664,100.47656870532168,-95.30846774193549,0.4262295081967213,Mixed,2026-05-15T04:19:45+00:00
7110,Watchlist,4h,71,-2.962206332992834,-1.9137258636453711,470.57602490918526,-96.12310286677909,0.30985915492957744,Mixed,2026-05-15T04:19:45+00:00
7109,Watchlist,2h,70,-0.2470156094068643,-0.28659662419833903,470.57602490918526,-96.12310286677909,0.42857142857142855,Mixed,2026-05-15T04:19:45+00:00
7108,Watchlist,1h,71,-1.93482688391039,-1.3774771238490047,470.57602490918526,-96.12310286677909,0.352112676056338,Mixed,2026-05-15T04:19:45+00:00
7107,Watchlist,30m,70,0.1073393264457323,3.8417333082938203,470.57602490918526,-95.45652173913044,0.5,Mixed,2026-05-15T04:19:45+00:00
7106,Watchlist,15m,71,-0.31249999999998224,1.3425678295433128,470.57602490918526,-95.45652173913044,0.4084507042253521,Mixed,2026-05-15T04:19:45+00:00
7105,Reject,24h,0,,,,,,Too Small Sample,2026-05-15T04:19:45+00:00
7104,Reject,8h,281,0.0,-0.532962509021802,59.71281495529666,-100.0,0.2491103202846975,Mixed,2026-05-15T04:19:45+00:00
7103,Reject,4h,388,0.0,-0.6523770758824646,36.916548797736915,-100.0,0.15721649484536082,Mixed,2026-05-15T04:19:45+00:00
7102,Reject,2h,407,0.0,-0.28296325944727524,31.895332390381892,-100.0,0.12530712530712532,Mixed,2026-05-15T04:19:45+00:00
7101,Reject,1h,415,0.0,-0.21464097039309465,32.662192393736,-100.0,0.12048192771084337,Mixed,2026-05-15T04:19:45+00:00
7100,Reject,30m,417,0.0,-0.2077265764885648,32.662192393736,-100.0,0.11750599520383694,Mixed,2026-05-15T04:19:45+00:00
7099,Reject,15m,417,0.0,-0.2077265764885648,32.662192393736,-100.0,0.11750599520383694,Mixed,2026-05-15T04:19:45+00:00
