signal_id,created_at,chain_id,token_address,pair_address,base_symbol,signal_type,detection_price_usd,detection_liquidity_usd,detection_volume_h24_usd,detection_pair_age_hours,delayed_entry_at,delayed_entry_price_usd,delayed_entry_observed_at,filter_version,source_tags,status,detection_snapshot_id
1,2026-05-10T14:55:06+00:00,base,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,LO0P,paper_trade_candidate,3.133e-06,147854.62,1977867.47,2.372513101111111,2026-05-10T15:00:06+00:00,1.952e-06,2026-05-10T15:15:59+00:00,v1.0,"[""profile_latest""]",open,243
2,2026-05-10T14:55:06+00:00,base,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,LO0P,clean_momentum,3.133e-06,147854.62,1977867.47,2.372513101111111,2026-05-10T15:00:06+00:00,1.952e-06,2026-05-10T15:15:59+00:00,v1.0,"[""profile_latest""]",open,243
3,2026-05-10T14:55:06+00:00,base,0x05A53C6153a9040Fbe58A2a106bC84577C34B422,0x487172d556884571f3e9fed40b6d7f29f51ff3d8d4a0ad8b4805858b63a2b43c,LO0P,liquidity_expansion,3.133e-06,147854.62,1977867.47,2.372513101111111,2026-05-10T15:00:06+00:00,1.952e-06,2026-05-10T15:15:59+00:00,v1.0,"[""profile_latest""]",open,243
