token_address,pair_id,final_label_at_scan,return_pct,horizon,reject_reasons,liquidity_at_scan,liquidity_at_horizon,volume_at_scan,volume_at_horizon,became_illiquid,rugged,volume_disappeared
0x38C3f1DaD46436F193e82066C61ADD3D5C42b650,base:0x9bc858ebc44153eaebf8545f76ca25aa40bdffd5a0764be5c499a7c253b17ac1,Reject,-0.0418,8h,"[""fdv_liquidity_ratio_above_200"",""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",274.1100,274.0400,0.7500,0.6900,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,15m,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,30m,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,15m,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,30m,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,15m,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,30m,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,1h,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,2h,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,1h,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,2h,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
0x1c93d155bD388241F9AB5Df500D69eb529cE9583,base:0xCf69b8DEE96ed7f1fFEc1949bedf64DD0364ddeD,Reject,0.0000,1h,"[""liquidity_below_10000"",""unique_buyers_below_10"",""volume_24h_below_15000""]",2580.7500,2580.7500,79.4700,79.4700,1,0,0
